mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
16.467,0.584,4.5969999999999995,0.33399999999999996,0.672,0.389,5.992999999999999,0.595,0.0
23.566999999999997,0.748,3.872,0.28300000000000003,0.54,0.359,5.055,0.584,0.0
27.467,0.902,3.388,0.251,0.275,0.35100000000000003,4.263999999999999,0.214,0.0
30.166999999999998,0.889,3.2489999999999997,0.23,0.263,0.322,4.064,0.21899999999999997,0.0
27.267,0.855,3.1439999999999997,0.217,0.35600000000000004,0.25,3.967,0.214,0.0
28.3,0.872,2.761,0.207,0.315,0.212,3.4939999999999998,0.20800000000000002,0.0
26.4,0.857,3.031,0.201,0.322,0.19,3.7439999999999998,0.21100000000000002,0.0
26.9,0.838,2.9730000000000003,0.205,0.371,0.24100000000000002,3.7889999999999997,0.198,0.0
30.467,0.855,3.037,0.188,0.349,0.223,3.7969999999999997,0.21600000000000003,0.0
28.066999999999997,0.885,2.596,0.184,0.29,0.192,3.262,0.2,0.0
33.633,0.882,2.7,0.16899999999999998,0.29600000000000004,0.2,3.365,0.22,0.0
33.867,0.866,2.955,0.163,0.305,0.182,3.605,0.20800000000000002,0.0
29.233,0.8440000000000001,2.8280000000000003,0.134,0.337,0.159,3.458,0.19699999999999998,0.0
30.1,0.883,2.861,0.151,0.27699999999999997,0.179,3.467,0.207,0.0
29.767,0.883,3.0410000000000004,0.139,0.294,0.151,3.625,0.205,0.0
34.0,0.8859999999999999,2.932,0.129,0.263,0.13699999999999998,3.4610000000000003,0.203,0.0
33.567,0.875,2.7030000000000003,0.141,0.299,0.162,3.305,0.198,0.0
34.167,0.8909999999999999,2.9219999999999997,0.129,0.255,0.16899999999999998,3.475,0.20199999999999999,0.0
32.567,0.897,2.6239999999999997,0.132,0.248,0.131,3.136,0.209,0.0
28.1,0.895,2.109,0.122,0.255,0.129,2.614,0.203,0.0
35.333,0.903,2.053,0.127,0.23600000000000002,0.132,2.5469999999999997,0.231,0.0
29.066999999999997,0.903,1.334,0.128,0.254,0.13699999999999998,1.8530000000000002,0.198,0.0
32.3,0.888,1.09,0.129,0.252,0.14,1.611,0.21,0.0
29.333000000000002,0.872,0.6829999999999999,0.115,0.28800000000000003,0.13699999999999998,1.224,0.198,0.0
32.266999999999996,0.889,0.825,0.11599999999999999,0.265,0.141,1.3459999999999999,0.214,0.0
33.733000000000004,0.9079999999999999,0.81,0.11599999999999999,0.226,0.141,1.2930000000000001,0.218,0.0
29.633000000000003,0.895,0.731,0.114,0.263,0.128,1.236,0.20800000000000002,0.0
