mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
13.867,0.886,1.158,0.182,0.288,0.187,1.815,0.094,0.0
12.667,0.886,0.741,0.204,0.262,0.168,1.375,0.084,0.0
12.1,0.867,0.375,0.208,0.309,0.168,1.06,0.083,0.0
14.833,0.859,1.328,0.256,0.307,0.164,2.054,0.087,0.0
12.133,0.864,0.591,0.187,0.32,0.174,1.272,0.084,0.0
11.833,0.856,0.83,0.234,0.322,0.184,1.571,0.085,0.0
12.733,0.862,1.244,0.218,0.299,0.179,1.939,0.085,0.0
11.2,0.884,0.912,0.241,0.28,0.18,1.613,0.083,0.0
13.0,0.892,1.115,0.233,0.277,0.179,1.805,0.087,0.0
12.8,0.895,0.371,0.154,0.255,0.129,0.909,0.082,0.0
12.733,0.88,1.045,0.198,0.287,0.162,1.693,0.093,0.0
12.9,0.879,0.72,0.244,0.287,0.132,1.383,0.085,0.0
11.9,0.881,1.481,0.26,0.291,0.181,2.213,0.085,0.0
12.367,0.861,0.497,0.201,0.318,0.183,1.199,0.084,0.0
11.533,0.875,1.291,0.165,0.289,0.166,1.911,0.084,0.0
11.967,0.858,0.972,0.195,0.301,0.184,1.652,0.083,0.0
11.833,0.879,1.282,0.172,0.27,0.151,1.875,0.082,0.0
12.633,0.897,0.947,0.171,0.249,0.144,1.51,0.083,0.0
13.067,0.874,1.602,0.223,0.268,0.146,2.239,0.087,0.0
15.133,0.853,1.24,0.24,0.338,0.205,2.023,0.089,0.0
12.233,0.884,0.335,0.218,0.269,0.171,0.993,0.085,0.0
12.9,0.903,0.51,0.194,0.244,0.137,1.084,0.083,0.0
11.833,0.9,1.323,0.18,0.238,0.17,1.911,0.084,0.0
10.9,0.882,1.182,0.183,0.27,0.146,1.78,0.082,0.0
10.4,0.882,1.08,0.235,0.268,0.209,1.792,0.085,0.0
12.6,0.899,1.54,0.213,0.265,0.136,2.154,0.083,0.0
12.2,0.918,1.323,0.161,0.193,0.147,1.824,0.083,0.0
12.467,0.855,0.606,0.189,0.336,0.2,1.331,0.085,0.0
14.433,0.897,1.26,0.196,0.251,0.135,1.842,0.086,0.0
14.1,0.906,0.676,0.155,0.244,0.157,1.232,0.084,0.0
12.5,0.894,1.056,0.201,0.238,0.13,1.626,0.083,0.0
11.733,0.897,0.72,0.137,0.237,0.17,1.264,0.083,0.0
12.1,0.882,1.323,0.201,0.259,0.135,1.918,0.084,0.0
15.0,0.877,1.807,0.196,0.275,0.167,2.445,0.089,0.0
13.733,0.88,1.174,0.181,0.271,0.149,1.774,0.085,0.0
13.9,0.868,0.84,0.171,0.291,0.139,1.442,0.085,0.0
12.633,0.895,0.125,0.19,0.269,0.131,0.715,0.085,0.0
12.167,0.866,1.294,0.18,0.305,0.192,1.97,0.092,0.0
12.467,0.869,0.847,0.188,0.277,0.15,1.463,0.083,0.0
12.633,0.878,0.46,0.169,0.275,0.149,1.054,0.084,0.0
13.7,0.891,0.924,0.206,0.285,0.148,1.563,0.086,0.0
11.667,0.87,1.013,0.219,0.303,0.159,1.694,0.084,0.0
14.4,0.869,1.034,0.127,0.273,0.144,1.577,0.083,0.0
12.5,0.897,1.814,0.165,0.258,0.158,2.395,0.083,0.0
12.3,0.877,0.801,0.183,0.272,0.141,1.396,0.085,0.0
14.433,0.866,1.582,0.18,0.293,0.163,2.218,0.086,0.0
12.1,0.871,1.858,0.139,0.271,0.138,2.406,0.082,0.0
13.267,0.889,0.857,0.177,0.26,0.148,1.442,0.083,0.0
13.167,0.898,1.603,0.194,0.238,0.123,2.158,0.084,0.0
13.6,0.857,0.632,0.225,0.343,0.188,1.388,0.083,0.0
11.133,0.881,1.119,0.2,0.283,0.168,1.77,0.085,0.0
14.1,0.855,1.537,0.232,0.319,0.165,2.253,0.085,0.0
12.767,0.867,1.79,0.15,0.269,0.167,2.376,0.084,0.0
10.967,0.854,0.49,0.197,0.321,0.157,1.164,0.085,0.0
12.267,0.877,0.847,0.17,0.275,0.182,1.474,0.084,0.0
14.2,0.882,1.158,0.145,0.263,0.165,1.731,0.083,0.0
12.933,0.888,1.641,0.176,0.264,0.125,2.207,0.085,0.0
11.567,0.883,0.655,0.118,0.28,0.147,1.2,0.082,0.0
13.167,0.884,1.282,0.17,0.244,0.143,1.84,0.086,0.0
11.5,0.873,1.624,0.131,0.284,0.182,2.221,0.084,0.0
11.833,0.879,0.824,0.174,0.276,0.128,1.401,0.083,0.0
12.767,0.9,1.034,0.174,0.223,0.164,1.595,0.084,0.0
13.733,0.865,1.664,0.168,0.287,0.153,2.272,0.085,0.0
12.933,0.892,1.096,0.19,0.26,0.127,1.674,0.085,0.0
13.133,0.87,1.135,0.163,0.279,0.152,1.729,0.084,0.0
13.0,0.886,1.214,0.146,0.261,0.136,1.757,0.083,0.0
10.633,0.889,0.655,0.15,0.257,0.156,1.218,0.082,0.0
12.333,0.877,0.667,0.212,0.335,0.171,1.386,0.086,0.0
11.6,0.878,1.415,0.124,0.278,0.125,1.942,0.082,0.0
12.233,0.885,1.244,0.181,0.262,0.156,1.842,0.085,0.0
12.9,0.878,0.25,0.158,0.268,0.145,0.821,0.083,0.0
13.5,0.865,0.483,0.178,0.295,0.166,1.123,0.086,0.0
12.3,0.861,0.909,0.131,0.294,0.158,1.492,0.084,0.0
14.433,0.905,1.05,0.14,0.243,0.149,1.582,0.087,0.0
11.8,0.884,1.627,0.183,0.26,0.154,2.224,0.09,0.0
12.2,0.891,2.164,0.185,0.264,0.156,2.769,0.084,0.0
12.7,0.88,0.248,0.16,0.258,0.118,0.784,0.082,0.0
13.367,0.921,1.157,0.125,0.2,0.099,1.581,0.083,0.0
12.633,0.897,0.569,0.16,0.243,0.146,1.118,0.084,0.0
12.067,0.878,0.684,0.184,0.262,0.144,1.274,0.083,0.0
12.933,0.853,0.43,0.21,0.322,0.156,1.118,0.085,0.0
11.467,0.879,0.661,0.189,0.27,0.158,1.279,0.087,0.0
13.933,0.895,0.903,0.161,0.268,0.131,1.463,0.083,0.0
12.933,0.864,1.03,0.169,0.296,0.174,1.669,0.087,0.0
12.233,0.885,0.949,0.116,0.243,0.174,1.482,0.084,0.0
11.067,0.892,1.242,0.156,0.242,0.157,1.797,0.085,0.0
12.733,0.889,1.37,0.181,0.246,0.157,1.954,0.084,0.0
12.4,0.899,0.785,0.192,0.254,0.17,1.401,0.082,0.0
12.4,0.878,0.568,0.187,0.284,0.129,1.169,0.084,0.0
12.733,0.891,1.182,0.118,0.259,0.145,1.704,0.084,0.0
13.0,0.897,0.375,0.155,0.247,0.151,0.928,0.085,0.0
12.8,0.903,0.84,0.163,0.244,0.126,1.374,0.084,0.0
12.433,0.875,0.571,0.178,0.287,0.168,1.204,0.085,0.0
12.7,0.883,1.732,0.124,0.266,0.134,2.257,0.082,0.0
13.6,0.896,0.925,0.162,0.248,0.127,1.462,0.085,0.0
13.467,0.885,0.834,0.176,0.281,0.145,1.436,0.084,0.0
13.567,0.881,1.306,0.13,0.264,0.136,1.835,0.084,0.0
